Key,Polish
Panel7.NextButton,Wybierz
Panel7.Hotspot1Tittle,Punkt 1 
Panel7.Hotspot1Description,Przystanek
Panel7.Hotspot2Tittle,Punkt 2
Panel7.Hotspot2Description,Staw
Panel7.Hotspot3Tittle,Punkt 3
Panel7.Hotspot3Description,Zieleń
Panel7.Hotspot4Tittle,Punkt 4
Panel7.Hotspot4Description,Martwa strefa
Panel7.Hotspot5Tittle,Punkt 5
Panel7.Hotspot5Description,Zamknięte osiedle
Panel7.Hotspot6Tittle,Punkt 6
Panel7.Hotspot6Description,Plac zabaw
Panel7.Hotspot7Tittle,Punkt 7
Panel7.Hotspot7Description,Parking
Panel7.Hotspot8Tittle,Punkt 8
Panel7.Hotspot8Description,Ulica
Panel7.Hotspot9Tittle,Punkt 9
Panel7.Hotspot9Description,Szkoła
Panel7.Hotspot1TittleTrack2,Punkt 1 
Panel7.Hotspot1DescriptionTrack2,Osiedle
Panel7.Hotspot2TittleTrack2,Punkt 2
Panel7.Hotspot2DescriptionTrack2,Udogodnienia 
Panel7.Hotspot3TittleTrack2,Punkt 3
Panel7.Hotspot3DescriptionTrack2,Parking
Panel7.Hotspot4TittleTrack2,Punkt 4
Panel7.Hotspot4DescriptionTrack2,Centrum handlowe
